Time (sec); Capacity;
0;1,63359e-11;
0;1,62696e-11;
5;1,61638e-11;
10;1,58131e-11;
15;1,64844e-11;
20;1,75498e-11;
25;1,75474e-11;
30;2,06343e-11;
35;2,09517e-11;
40;2,16158e-11;
45;2,46349e-11;
50;2,35651e-11;
55;2,67482e-11;
60;2,62522e-11;
65;2,82485e-11;
70;2,80563e-11;
75;2,91253e-11;
80;2,80805e-11;
85;2,96388e-11;
90;3,02081e-11;
95;3,15617e-11;
100;3,14134e-11;
105;3,30342e-11;
110;3,39779e-11;
115;3,4777e-11;
120;3,33907e-11;
125;3,45101e-11;
130;3,55456e-11;
135;3,80453e-11;
140;3,80466e-11;
145;3,93246e-11;
150;4,2575e-11;
155;4,84422e-11;
160;5,32939e-11;
165;6,51625e-11;
170;7,88501e-11;
175;9,65478e-11;
180;1,1762e-10;
185;1,42831e-10;
190;1,6854e-10;
195;2,02111e-10;
200;2,38092e-10;
205;2,73891e-10;
210;3,15533e-10;
215;3,58481e-10;
220;4,02082e-10;
225;4,48444e-10;
230;4,97469e-10;
235;5,5267e-10;
240;6,09037e-10;
245;6,68145e-10;
250;7,31815e-10;
255;7,94084e-10;
260;8,63093e-10;
265;9,34822e-10;
270;1,00615e-09;
275;1,08287e-09;
280;1,15681e-09;
285;1,23746e-09;
290;1,31721e-09;
295;1,40261e-09;
300;1,48571e-09;
305;1,57e-09;
310;1,65753e-09;
315;1,73998e-09;
320;1,82496e-09;
325;1,9087e-09;
330;1,99352e-09;
335;2,078e-09;
340;2,16065e-09;
345;2,23954e-09;
350;2,31299e-09;
355;2,38128e-09;
360;2,44317e-09;
365;2,49727e-09;
370;2,54819e-09;
375;2,58708e-09;
380;2,62676e-09;
385;2,66349e-09;
390;2,69857e-09;
395;2,72923e-09;
400;2,75583e-09;
405;2,78557e-09;
410;2,81795e-09;
415;2,83614e-09;
420;2,86203e-09;
425;2,88252e-09;
430;2,9031e-09;
435;2,92096e-09;
440;2,94369e-09;
445;2,96054e-09;
450;2,981e-09;
455;3,00027e-09;
460;3,01631e-09;
465;3,03404e-09;
470;3,05132e-09;
475;3,06495e-09;
480;3,08367e-09;
485;3,10044e-09;
490;3,11444e-09;
495;3,13646e-09;
500;3,14692e-09;
505;3,15965e-09;
510;3,1724e-09;
515;3,18749e-09;
520;3,19734e-09;
525;3,21178e-09;
530;3,22699e-09;
535;3,23767e-09;
540;3,2517e-09;
545;3,26392e-09;
550;3,27628e-09;
555;3,28998e-09;
560;3,30118e-09;
565;3,31517e-09;
570;3,32405e-09;
575;3,33636e-09;
580;3,34714e-09;
585;3,35492e-09;
590;3,3667e-09;
595;3,38156e-09;
600;3,39341e-09;
605;3,41244e-09;
610;3,42553e-09;
615;3,43658e-09;
620;3,45429e-09;
625;3,47048e-09;
630;3,47904e-09;
635;3,49282e-09;
640;3,50374e-09;
645;3,52019e-09;
650;3,53943e-09;
655;3,55615e-09;
660;3,57526e-09;
